,concentration_mol/m^3,surften_N/m,SDVsurften_N/m
0,0.1485,0.06853733333333334,4.7611856599893775e-05
1,0.2376,0.06539666666666666,0.00010101265047287488
2,0.3564,0.06239766666666667,2.1249836600678784e-05
3,0.4752,0.060046,4.492215489043084e-05
4,0.594,0.057948333333333345,1.5412837362262046e-05
5,0.7425,0.05386433333333333,6.154311948183833e-05
6,1.188,0.04974933333333333,0.0002524775017479545
7,1.7819999999999998,0.047440666666666666,2.7523727137792514e-05
8,2.376,0.04428033333333334,2.067741655902646e-05
9,2.97,0.04308533333333333,0.001126022596970812
10,3.5639999999999996,0.039994666666666664,4.908722395446077e-05
11,4.2768,0.03873633333333333,8.439720901125048e-05
12,4.752,0.036152333333333335,0.00019169478054680626
13,5.583600000000001,0.033973666666666666,0.0003145720196641057
14,5.94,0.033576999999999996,0.0002731458706747485
15,7.127999999999999,0.031652,0.0003282438118228576
16,9.8604,0.030391,4.784001114826999e-05
17,12.0582,0.030294,2.9131884021921498e-05
18,13.4244,0.030168666666666667,1.1614167593456116e-05
19,29.7,0.030206666666666666,3.137231617560715e-05
