,concentration_mol/m^3,surften_N/m,SDVsurften_N/m
0,0.2988,0.070831,0.00010686751923136795
1,0.415,0.070107,7.377443098165201e-05
2,0.581,0.06935133333333333,0.0001271543244338248
3,0.747,0.06873433333333334,0.00014615136750035002
4,0.996,0.063869,0.00020002166549318333
5,1.162,0.06379199999999999,0.00017258234749436722
6,1.411,0.06166833333333333,4.3987371925233745e-05
7,1.66,0.06093566666666667,0.00012129944581718209
8,2.075,0.057507666666666665,0.00027112645676059707
9,2.905,0.053681000000000006,0.00034051235905127873
10,3.32,0.05290033333333333,0.00016423019075540186
11,4.15,0.048209,0.0003021070450463964
12,4.98,0.04750666666666666,0.00014474191591319407
13,5.81,0.042500666666666666,0.00028257427735415387
14,6.64,0.041363333333333335,0.00028410600525547293
15,8.3,0.03854166666666666,0.00023226039027111027
16,9.96,0.038391,0.000307903664587913
17,13.28,0.03893533333333333,6.432383349548876e-05
18,16.6,0.03884200000000001,3.4215006454283577e-05
19,24.9,0.038496666666666665,2.1669230617528494e-05
