,concentration_mol/m^3,surften_N/m,SDVsurften_N/m
0,0.00075,0.068670667,0.000505775
2,0.0015,0.063239667,0.0004393
3,0.002,0.063134333,0.000388523
4,0.0025,0.061062,0.000287722
5,0.00325,0.059533667,0.000266995
6,0.00425,0.056809,0.000484513
7,0.005,0.056546667,0.00020015
8,0.0075,0.052753667,0.000356646
9,0.01,0.051043,0.00048876
10,0.015,0.049965333,0.00029349
11,0.0175,0.047558667,0.00019831
12,0.02,0.044396667,0.000422487
13,0.0225,0.044592,0.000261864
14,0.025,0.041226667,9.60E-05
15,0.0375,0.040240667,0.000114135
16,0.268832534,0.038079,0.000525072
17,0.413839173,0.038068333,0.000134244
18,0.972684985,0.037735667,7.94E-05
19,1.705864622,0.037928667,0.000256614
20,2.668773879,0.037417,0.000388114
21,4.355087045,0.037424667,0.000250765
22,5.032870887,0.03651,9.98E-05
23,5.495588703,0.037739,0.000565036
